pid,trial,condition,period,event
1,1,1,1,0
1,1,1,2,0
1,1,1,3,0
1,1,1,4,0
1,1,1,5,0
1,1,1,6,0
1,1,1,7,0
1,1,1,8,1
1,2,1,1,0
1,2,1,2,0
1,2,1,3,0
1,2,1,4,0
1,2,1,5,0
1,2,1,6,0
1,2,1,7,0
1,2,1,8,1
1,3,1,1,0
1,3,1,2,0
1,3,1,3,0
1,3,1,4,0
1,3,1,5,0
1,3,1,6,0
1,3,1,7,0
1,3,1,8,1
1,4,2,1,0
1,4,2,2,0
1,4,2,3,0
1,4,2,4,0
1,4,2,5,0
1,4,2,6,0
1,4,2,7,0
1,4,2,8,0
1,5,1,1,0
1,5,1,2,0
1,5,1,3,0
1,5,1,4,0
1,5,1,5,0
1,5,1,6,0
1,5,1,7,1
1,6,3,1,0
1,6,3,2,0
1,6,3,3,0
1,6,3,4,0
1,6,3,5,0
1,6,3,6,0
1,6,3,7,0
1,6,3,8,1
1,7,3,1,0
1,7,3,2,0
1,7,3,3,0
1,7,3,4,0
1,7,3,5,0
1,7,3,6,1
1,8,1,1,0
1,8,1,2,0
1,8,1,3,0
1,8,1,4,0
1,8,1,5,0
1,8,1,6,1
1,9,3,1,0
1,9,3,2,0
1,9,3,3,0
1,9,3,4,0
1,9,3,5,0
1,9,3,6,0
1,9,3,7,1
1,10,3,1,0
1,10,3,2,0
1,10,3,3,0
1,10,3,4,0
1,10,3,5,0
1,10,3,6,0
1,10,3,7,0
1,10,3,8,1
1,11,2,1,0
1,11,2,2,0
1,11,2,3,0
1,11,2,4,0
1,11,2,5,0
1,11,2,6,1
1,12,2,1,0
1,12,2,2,0
1,12,2,3,0
1,12,2,4,0
1,12,2,5,1
1,13,1,1,0
1,13,1,2,0
1,13,1,3,0
1,13,1,4,0
1,13,1,5,0
1,13,1,6,0
1,13,1,7,0
1,13,1,8,1
1,14,3,1,0
1,14,3,2,0
1,14,3,3,0
1,14,3,4,0
1,14,3,5,0
1,14,3,6,0
1,14,3,7,1
1,15,3,1,0
1,15,3,2,0
1,15,3,3,0
1,15,3,4,0
1,15,3,5,1
1,16,2,1,0
1,16,2,2,1
1,17,3,1,0
1,17,3,2,0
1,17,3,3,0
1,17,3,4,0
1,17,3,5,1
1,18,2,1,0
1,18,2,2,0
1,18,2,3,0
1,18,2,4,0
1,18,2,5,1
1,19,1,1,0
1,19,1,2,0
1,19,1,3,0
1,19,1,4,0
1,19,1,5,0
1,19,1,6,0
1,19,1,7,0
1,19,1,8,0
1,20,1,1,0
1,20,1,2,0
1,20,1,3,0
1,20,1,4,0
1,20,1,5,0
1,20,1,6,1
1,21,3,1,0
1,21,3,2,0
1,21,3,3,0
1,21,3,4,0
1,21,3,5,1
1,22,1,1,0
1,22,1,2,0
1,22,1,3,0
1,22,1,4,0
1,22,1,5,1
1,23,2,1,0
1,23,2,2,0
1,23,2,3,0
1,23,2,4,0
1,23,2,5,0
1,23,2,6,0
1,23,2,7,1
1,24,3,1,0
1,24,3,2,0
1,24,3,3,0
1,24,3,4,0
1,24,3,5,0
1,24,3,6,0
1,24,3,7,1
1,25,1,1,0
1,25,1,2,0
1,25,1,3,0
1,25,1,4,0
1,25,1,5,0
1,25,1,6,0
1,25,1,7,0
1,25,1,8,0
1,26,3,1,0
1,26,3,2,0
1,26,3,3,0
1,26,3,4,0
1,26,3,5,0
1,26,3,6,0
1,26,3,7,0
1,26,3,8,0
1,27,2,1,0
1,27,2,2,0
1,27,2,3,0
