pid,trial,bl,tr,condition,period,event
1,4,2,4,2,1,0
1,4,2,4,2,2,0
1,4,2,4,2,3,0
1,4,2,4,2,4,0
1,4,2,4,2,5,0
1,4,2,4,2,6,0
1,4,2,4,2,7,0
1,4,2,4,2,8,0
1,4,2,4,2,9,0
1,4,2,4,2,10,0
1,4,2,4,2,11,0
1,4,2,4,2,12,1
1,5,2,5,3,1,0
1,5,2,5,3,2,0
1,5,2,5,3,3,0
1,5,2,5,3,4,0
1,5,2,5,3,5,0
1,5,2,5,3,6,0
1,5,2,5,3,7,0
1,5,2,5,3,8,0
1,5,2,5,3,9,0
1,5,2,5,3,10,0
1,5,2,5,3,11,0
1,5,2,5,3,12,0
1,5,2,5,3,13,0
1,5,2,5,3,14,0
1,5,2,5,3,15,1
1,15,2,15,2,1,0
1,15,2,15,2,2,0
1,15,2,15,2,3,0
1,15,2,15,2,4,0
1,15,2,15,2,5,0
1,15,2,15,2,6,0
1,15,2,15,2,7,0
1,15,2,15,2,8,0
1,15,2,15,2,9,0
1,15,2,15,2,10,0
1,15,2,15,2,11,0
1,15,2,15,2,12,0
1,15,2,15,2,13,0
1,15,2,15,2,14,1
1,17,2,17,3,1,0
1,17,2,17,3,2,0
1,17,2,17,3,3,0
1,17,2,17,3,4,0
1,17,2,17,3,5,0
1,17,2,17,3,6,0
1,17,2,17,3,7,0
1,17,2,17,3,8,0
1,17,2,17,3,9,0
1,17,2,17,3,10,0
1,17,2,17,3,11,0
1,17,2,17,3,12,0
1,17,2,17,3,13,0
1,17,2,17,3,14,0
1,17,2,17,3,15,1
1,29,3,7,2,1,0
1,29,3,7,2,2,0
1,29,3,7,2,3,0
1,29,3,7,2,4,0
1,29,3,7,2,5,0
1,29,3,7,2,6,0
1,29,3,7,2,7,0
1,29,3,7,2,8,0
1,29,3,7,2,9,0
1,29,3,7,2,10,0
1,29,3,7,2,11,0
1,29,3,7,2,12,1
1,31,3,9,3,1,0
1,31,3,9,3,2,0
1,31,3,9,3,3,0
1,31,3,9,3,4,0
1,31,3,9,3,5,0
1,31,3,9,3,6,0
1,31,3,9,3,7,0
1,31,3,9,3,8,0
1,31,3,9,3,9,0
1,31,3,9,3,10,0
1,31,3,9,3,11,0
1,31,3,9,3,12,0
1,31,3,9,3,13,0
1,31,3,9,3,14,0
1,31,3,9,3,15,0
1,33,3,11,3,1,0
1,33,3,11,3,2,0
1,33,3,11,3,3,0
1,33,3,11,3,4,0
1,33,3,11,3,5,0
1,33,3,11,3,6,0
1,33,3,11,3,7,0
1,33,3,11,3,8,0
1,33,3,11,3,9,0
1,33,3,11,3,10,0
1,33,3,11,3,11,0
1,33,3,11,3,12,0
1,33,3,11,3,13,1
1,41,3,19,2,1,0
1,41,3,19,2,2,0
1,41,3,19,2,3,0
1,41,3,19,2,4,0
1,41,3,19,2,5,0
1,41,3,19,2,6,0
1,41,3,19,2,7,0
1,41,3,19,2,8,0
1,41,3,19,2,9,0
1,41,3,19,2,10,0
1,41,3,19,2,11,1
1,48,4,4,3,1,0
1,48,4,4,3,2,0
1,48,4,4,3,3,0
1,48,4,4,3,4,0
1,48,4,4,3,5,0
1,48,4,4,3,6,0
1,48,4,4,3,7,0
1,48,4,4,3,8,0
1,48,4,4,3,9,0
1,48,4,4,3,10,0
1,48,4,4,3,11,1
1,53,4,9,3,1,0
1,53,4,9,3,2,0
1,53,4,9,3,3,0
1,53,4,9,3,4,0
1,53,4,9,3,5,0
1,53,4,9,3,6,0
1,53,4,9,3,7,0
1,53,4,9,3,8,0
1,53,4,9,3,9,0
1,53,4,9,3,10,0
1,53,4,9,3,11,1
1,57,4,13,2,1,0
1,57,4,13,2,2,0
1,57,4,13,2,3,0
1,57,4,13,2,4,0
1,57,4,13,2,5,0
1,57,4,13,2,6,0
1,57,4,13,2,7,0
1,57,4,13,2,8,1
1,58,4,14,2,1,0
1,58,4,14,2,2,0
1,58,4,14,2,3,0
1,58,4,14,2,4,0
1,58,4,14,2,5,0
1,58,4,14,2,6,0
1,58,4,14,2,7,0
1,58,4,14,2,8,0
1,58,4,14,2,9,1
1,73,5,7,3,1,0
1,73,5,7,3,2,0
1,73,5,7,3,3,0
1,73,5,7,3,4,0
1,73,5,7,3,5,0
1,73,5,7,3,6,0
1,73,5,7,3,7,1
1,74,5,8,2,1,0
1,74,5,8,2,2,0
1,74,5,8,2,3,0
1,74,5,8,2,4,0
1,74,5,8,2,5,0
1,74,5,8,2,6,0
1,74,5,8,2,7,0
1,74,5,8,2,8,0
1,74,5,8,2,9,0
1,74,5,8,2,10,1
1,84,5,18,3,1,0
1,84,5,18,3,2,0
1,84,5,18,3,3,0
1,84,5,18,3,4,0
1,84,5,18,3,5,0
1,84,5,18,3,6,0
1,84,5,18,3,7,0
1,84,5,18,3,8,0
1,84,5,18,3,9,0
1,84,5,18,3,10,0
1,84,5,18,3,11,0
1,84,5,18,3,12,0
1,84,5,18,3,13,0
1,84,5,18,3,14,0
1,84,5,18,3,15,1
1,85,5,19,2,1,0
1,85,5,19,2,2,0
1,85,5,19,2,3,0
1,85,5,19,2,4,0
1,85,5,19,2,5,0
1,85,5,19,2,6,0
1,85,5,19,2,7,0
1,85,5,19,2,8,0
1,85,5,19,2,9,0
1,85,5,19,2,10,0
1,85,5,19,2,11,0
1,85,5,19,2,12,0
1,85,5,19,2,13,1
1,92,6,4,2,1,0
1,92,6,4,2,2,0
1,92,6,4,2,3,0
1,92,6,4,2,4,0
1,92,6,4,2,5,0
1,92,6,4,2,6,0
1,92,6,4,2,7,0
1,92,6,4,2,8,0
1,92,6,4,2,9,0
1,92,6,4,2,10,0
1,92,6,4,2,11,0
1,92,6,4,2,12,1
1,93,6,5,2,1,0
1,93,6,5,2,2,0
1,93,6,5,2,3,0
1,93,6,5,2,4,0
1,93,6,5,2,5,0
1,93,6,5,2,6,0
1,93,6,5,2,7,0
1,93,6,5,2,8,0
1,93,6,5,2,9,0
1,93,6,5,2,10,0
1,93,6,5,2,11,0
1,93,6,5,2,12,1
1,97,6,9,3,1,0
1,97,6,9,3,2,0
1,97,6,9,3,3,0
1,97,6,9,3,4,0
1,97,6,9,3,5,0
1,97,6,9,3,6,0
1,97,6,9,3,7,0
1,97,6,9,3,8,1
1,108,6,20,3,1,0
1,108,6,20,3,2,0
1,108,6,20,3,3,0
1,108,6,20,3,4,0
1,108,6,20,3,5,0
1,108,6,20,3,6,0
1,108,6,20,3,7,0
1,108,6,20,3,8,0
1,108,6,20,3,9,0
1,108,6,20,3,10,0
1,108,6,20,3,11,1
1,119,7,9,2,1,0
1,119,7,9,2,2,0
1,119,7,9,2,3,0
1,119,7,9,2,4,0
1,119,7,9,2,5,0
1,119,7,9,2,6,1
1,125,7,15,3,1,0
1,125,7,15,3,2,0
1,125,7,15,3,3,0
1,125,7,15,3,4,0
1,125,7,15,3,5,0
1,125,7,15,3,6,0
1,125,7,15,3,7,0
1,125,7,15,3,8,0
1,125,7,15,3,9,0
1,125,7,15,3,10,0
1,125,7,15,3,11,0
1,125,7,15,3,12,1
1,127,7,17,2,1,0
1,127,7,17,2,2,0
1,127,7,17,2,3,0
1,127,7,17,2,4,0
1,127,7,17,2,5,0
1,127,7,17,2,6,0
1,127,7,17,2,7,0
1,127,7,17,2,8,0
1,127,7,17,2,9,0
1,127,7,17,2,10,0
1,127,7,17,2,11,1
1,132,7,22,3,1,0
1,132,7,22,3,2,0
1,132,7,22,3,3,0
1,132,7,22,3,4,0
1,132,7,22,3,5,0
1,132,7,22,3,6,0
1,132,7,22,3,7,0
1,132,7,22,3,8,0
1,132,7,22,3,9,0
1,132,7,22,3,10,0
1,132,7,22,3,11,0
1,132,7,22,3,12,0
1,132,7,22,3,13,0
1,132,7,22,3,14,0
1,132,7,22,3,15,1
1,133,8,1,1,1,0
1,133,8,1,1,2,0
1,133,8,1,1,3,0
1,133,8,1,1,4,0
1,133,8,1,1,5,1
1,134,8,2,1,1,0
1,134,8,2,1,2,0
1,134,8,2,1,3,0
1,134,8,2,1,4,0
1,134,8,2,1,5,0
1,134,8,2,1,6,0
1,134,8,2,1,7,0
1,134,8,2,1,8,0
1,134,8,2,1,9,0
1,134,8,2,1,10,0
1,134,8,2,1,11,0
1,134,8,2,1,12,0
1,134,8,2,1,13,0
1,134,8,2,1,14,1
1,135,8,3,1,1,0
1,135,8,3,1,2,0
1,135,8,3,1,3,0
1,135,8,3,1,4,0
1,135,8,3,1,5,0
1,135,8,3,1,6,0
1,135,8,3,1,7,0
1,135,8,3,1,8,0
1,135,8,3,1,9,0
1,135,8,3,1,10,0
1,135,8,3,1,11,1
1,136,8,4,1,1,0
1,136,8,4,1,2,0
1,136,8,4,1,3,0
1,136,8,4,1,4,0
1,136,8,4,1,5,0
1,136,8,4,1,6,0
1,136,8,4,1,7,0
1,136,8,4,1,8,0
1,136,8,4,1,9,0
1,136,8,4,1,10,0
1,136,8,4,1,11,1
1,137,8,5,1,1,0
1,137,8,5,1,2,0
1,137,8,5,1,3,0
1,137,8,5,1,4,0
1,137,8,5,1,5,0
1,137,8,5,1,6,0
1,137,8,5,1,7,0
1,137,8,5,1,8,1
1,138,8,6,1,1,0
1,138,8,6,1,2,0
1,138,8,6,1,3,0
1,138,8,6,1,4,0
1,138,8,6,1,5,0
1,138,8,6,1,6,0
1,138,8,6,1,7,1
1,139,8,7,1,1,0
1,139,8,7,1,2,0
1,139,8,7,1,3,0
1,139,8,7,1,4,0
1,139,8,7,1,5,0
1,139,8,7,1,6,1
1,140,8,8,1,1,0
1,140,8,8,1,2,0
1,140,8,8,1,3,0
1,140,8,8,1,4,0
1,140,8,8,1,5,0
1,140,8,8,1,6,0
1,140,8,8,1,7,0
1,140,8,8,1,8,0
1,140,8,8,1,9,0
1,140,8,8,1,10,1
1,141,8,9,1,1,0
1,141,8,9,1,2,0
1,141,8,9,1,3,0
1,141,8,9,1,4,0
1,141,8,9,1,5,0
1,141,8,9,1,6,0
1,141,8,9,1,7,0
1,141,8,9,1,8,1
1,142,8,10,1,1,0
1,142,8,10,1,2,0
1,142,8,10,1,3,0
1,142,8,10,1,4,0
1,142,8,10,1,5,0
1,142,8,10,1,6,0
1,142,8,10,1,7,0
1,142,8,10,1,8,1
1,143,8,11,1,1,0
1,143,8,11,1,2,0
1,143,8,11,1,3,0
1,143,8,11,1,4,0
1,143,8,11,1,5,0
1,143,8,11,1,6,0
1,143,8,11,1,7,0
1,143,8,11,1,8,1
1,144,8,12,1,1,0
1,144,8,12,1,2,0
1,144,8,12,1,3,0
1,144,8,12,1,4,0
1,144,8,12,1,5,0
1,144,8,12,1,6,0
1,144,8,12,1,7,0
1,144,8,12,1,8,0
1,144,8,12,1,9,0
1,144,8,12,1,10,0
1,144,8,12,1,11,0
1,144,8,12,1,12,1
1,145,8,13,1,1,0
1,145,8,13,1,2,0
1,145,8,13,1,3,0
1,145,8,13,1,4,0
1,145,8,13,1,5,0
1,145,8,13,1,6,0
1,145,8,13,1,7,0
1,145,8,13,1,8,0
1,145,8,13,1,9,0
1,145,8,13,1,10,0
1,145,8,13,1,11,0
1,145,8,13,1,12,1
1,146,8,14,1,1,0
1,146,8,14,1,2,0
1,146,8,14,1,3,0
1,146,8,14,1,4,0
1,146,8,14,1,5,0
1,146,8,14,1,6,0
1,146,8,14,1,7,0
1,146,8,14,1,8,0
1,146,8,14,1,9,1
1,147,8,15,1,1,0
1,147,8,15,1,2,0
1,147,8,15,1,3,0
1,147,8,15,1,4,0
1,147,8,15,1,5,0
1,147,8,15,1,6,0
1,147,8,15,1,7,1
1,148,8,16,1,1,0
1,148,8,16,1,2,0
1,148,8,16,1,3,0
1,148,8,16,1,4,0
1,148,8,16,1,5,0
1,148,8,16,1,6,0
1,148,8,16,1,7,0
1,148,8,16,1,8,0
1,148,8,16,1,9,0
1,148,8,16,1,10,1
1,149,8,17,1,1,0
1,149,8,17,1,2,0
1,149,8,17,1,3,0
1,149,8,17,1,4,0
1,149,8,17,1,5,0
1,149,8,17,1,6,0
1,149,8,17,1,7,1
1,150,8,18,1,1,0
1,150,8,18,1,2,0
1,150,8,18,1,3,0
1,150,8,18,1,4,0
1,150,8,18,1,5,0
1,150,8,18,1,6,0
1,150,8,18,1,7,1
1,151,8,19,1,1,0
1,151,8,19,1,2,0
1,151,8,19,1,3,0
1,151,8,19,1,4,0
1,151,8,19,1,5,0
1,151,8,19,1,6,1
1,152,8,20,1,1,0
1,152,8,20,1,2,0
1,152,8,20,1,3,0
1,152,8,20,1,4,0
1,152,8,20,1,5,0
1,152,8,20,1,6,0
1,152,8,20,1,7,1
1,153,8,21,1,1,0
