pid,trial,condition,period,event
1,1,2,1,0
1,1,2,2,0
1,1,2,3,0
1,1,2,4,0
1,1,2,5,0
1,1,2,6,0
1,1,2,7,0
1,1,2,8,0
1,1,2,9,0
1,1,2,10,0
1,1,2,11,0
1,1,2,12,1
1,2,3,1,0
1,2,3,2,0
1,2,3,3,0
1,2,3,4,0
1,2,3,5,0
1,2,3,6,0
1,2,3,7,0
1,2,3,8,0
1,2,3,9,0
1,2,3,10,0
1,2,3,11,0
1,2,3,12,0
1,2,3,13,0
1,2,3,14,0
1,2,3,15,1
1,3,2,1,0
1,3,2,2,0
1,3,2,3,0
1,3,2,4,0
1,3,2,5,0
1,3,2,6,0
1,3,2,7,0
1,3,2,8,0
1,3,2,9,0
1,3,2,10,0
1,3,2,11,0
1,3,2,12,0
1,3,2,13,0
1,3,2,14,1
1,4,3,1,0
1,4,3,2,0
1,4,3,3,0
1,4,3,4,0
1,4,3,5,0
1,4,3,6,0
1,4,3,7,0
1,4,3,8,0
1,4,3,9,0
1,4,3,10,0
1,4,3,11,0
1,4,3,12,0
1,4,3,13,0
1,4,3,14,0
1,4,3,15,1
1,5,2,1,0
1,5,2,2,0
1,5,2,3,0
1,5,2,4,0
1,5,2,5,0
1,5,2,6,0
1,5,2,7,0
1,5,2,8,0
1,5,2,9,0
1,5,2,10,0
1,5,2,11,0
1,5,2,12,1
1,6,3,1,0
1,6,3,2,0
1,6,3,3,0
1,6,3,4,0
1,6,3,5,0
1,6,3,6,0
1,6,3,7,0
1,6,3,8,0
1,6,3,9,0
1,6,3,10,0
1,6,3,11,0
1,6,3,12,0
1,6,3,13,0
1,6,3,14,0
1,6,3,15,0
1,7,3,1,0
1,7,3,2,0
1,7,3,3,0
1,7,3,4,0
1,7,3,5,0
1,7,3,6,0
1,7,3,7,0
1,7,3,8,0
1,7,3,9,0
1,7,3,10,0
1,7,3,11,0
1,7,3,12,0
1,7,3,13,1
1,8,2,1,0
1,8,2,2,0
1,8,2,3,0
1,8,2,4,0
1,8,2,5,0
1,8,2,6,0
1,8,2,7,0
1,8,2,8,0
1,8,2,9,0
1,8,2,10,0
1,8,2,11,1
1,9,3,1,0
1,9,3,2,0
1,9,3,3,0
1,9,3,4,0
1,9,3,5,0
1,9,3,6,0
1,9,3,7,0
1,9,3,8,0
1,9,3,9,0
1,9,3,10,0
1,9,3,11,1
1,10,3,1,0
1,10,3,2,0
1,10,3,3,0
1,10,3,4,0
1,10,3,5,0
1,10,3,6,0
1,10,3,7,0
1,10,3,8,0
1,10,3,9,0
1,10,3,10,0
1,10,3,11,1
1,11,2,1,0
1,11,2,2,0
1,11,2,3,0
1,11,2,4,0
1,11,2,5,0
1,11,2,6,0
1,11,2,7,0
1,11,2,8,1
1,12,2,1,0
1,12,2,2,0
1,12,2,3,0
1,12,2,4,0
1,12,2,5,0
1,12,2,6,0
1,12,2,7,0
1,12,2,8,0
1,12,2,9,1
1,13,3,1,0
1,13,3,2,0
1,13,3,3,0
1,13,3,4,0
1,13,3,5,0
1,13,3,6,0
1,13,3,7,1
1,14,2,1,0
1,14,2,2,0
1,14,2,3,0
1,14,2,4,0
1,14,2,5,0
1,14,2,6,0
1,14,2,7,0
1,14,2,8,0
1,14,2,9,0
1,14,2,10,1
1,15,3,1,0
1,15,3,2,0
1,15,3,3,0
1,15,3,4,0
1,15,3,5,0
1,15,3,6,0
1,15,3,7,0
1,15,3,8,0
1,15,3,9,0
1,15,3,10,0
1,15,3,11,0
1,15,3,12,0
1,15,3,13,0
1,15,3,14,0
1,15,3,15,1
1,16,2,1,0
1,16,2,2,0
1,16,2,3,0
1,16,2,4,0
1,16,2,5,0
1,16,2,6,0
1,16,2,7,0
1,16,2,8,0
1,16,2,9,0
1,16,2,10,0
1,16,2,11,0
1,16,2,12,0
1,16,2,13,1
1,17,2,1,0
1,17,2,2,0
1,17,2,3,0
1,17,2,4,0
1,17,2,5,0
1,17,2,6,0
1,17,2,7,0
1,17,2,8,0
1,17,2,9,0
1,17,2,10,0
1,17,2,11,0
1,17,2,12,1
1,18,2,1,0
1,18,2,2,0
1,18,2,3,0
1,18,2,4,0
1,18,2,5,0
1,18,2,6,0
1,18,2,7,0
1,18,2,8,0
1,18,2,9,0
1,18,2,10,0
1,18,2,11,0
1,18,2,12,1
1,19,3,1,0
1,19,3,2,0
1,19,3,3,0
1,19,3,4,0
1,19,3,5,0
1,19,3,6,0
1,19,3,7,0
1,19,3,8,1
1,20,3,1,0
1,20,3,2,0
1,20,3,3,0
1,20,3,4,0
1,20,3,5,0
1,20,3,6,0
1,20,3,7,0
1,20,3,8,0
1,20,3,9,0
1,20,3,10,0
1,20,3,11,1
1,21,2,1,0
1,21,2,2,0
1,21,2,3,0
1,21,2,4,0
1,21,2,5,0
1,21,2,6,1
1,22,3,1,0
1,22,3,2,0
1,22,3,3,0
1,22,3,4,0
1,22,3,5,0
1,22,3,6,0
1,22,3,7,0
1,22,3,8,0
1,22,3,9,0
1,22,3,10,0
1,22,3,11,0
1,22,3,12,1
1,23,2,1,0
1,23,2,2,0
1,23,2,3,0
1,23,2,4,0
1,23,2,5,0
1,23,2,6,0
1,23,2,7,0
1,23,2,8,0
1,23,2,9,0
1,23,2,10,0
1,23,2,11,1
1,24,3,1,0
1,24,3,2,0
1,24,3,3,0
1,24,3,4,0
1,24,3,5,0
1,24,3,6,0
1,24,3,7,0
1,24,3,8,0
1,24,3,9,0
1,24,3,10,0
1,24,3,11,0
1,24,3,12,0
1,24,3,13,0
1,24,3,14,0
1,24,3,15,1
1,25,1,1,0
1,25,1,2,0
1,25,1,3,0
1,25,1,4,0
1,25,1,5,1
1,26,1,1,0
1,26,1,2,0
1,26,1,3,0
1,26,1,4,0
1,26,1,5,0
1,26,1,6,0
1,26,1,7,0
1,26,1,8,0
1,26,1,9,0
1,26,1,10,0
1,26,1,11,0
1,26,1,12,0
1,26,1,13,0
1,26,1,14,1
1,27,1,1,0
1,27,1,2,0
1,27,1,3,0
1,27,1,4,0
1,27,1,5,0
1,27,1,6,0
1,27,1,7,0
1,27,1,8,0
1,27,1,9,0
1,27,1,10,0
1,27,1,11,1
1,28,1,1,0
1,28,1,2,0
1,28,1,3,0
1,28,1,4,0
1,28,1,5,0
1,28,1,6,0
1,28,1,7,0
1,28,1,8,0
1,28,1,9,0
1,28,1,10,0
1,28,1,11,1
1,29,1,1,0
1,29,1,2,0
1,29,1,3,0
1,29,1,4,0
1,29,1,5,0
1,29,1,6,0
1,29,1,7,0
1,29,1,8,1
1,30,1,1,0
1,30,1,2,0
1,30,1,3,0
1,30,1,4,0
1,30,1,5,0
1,30,1,6,0
1,30,1,7,1
1,31,1,1,0
1,31,1,2,0
1,31,1,3,0
1,31,1,4,0
1,31,1,5,0
1,31,1,6,1
1,32,1,1,0
1,32,1,2,0
1,32,1,3,0
1,32,1,4,0
1,32,1,5,0
1,32,1,6,0
1,32,1,7,0
1,32,1,8,0
1,32,1,9,0
1,32,1,10,1
1,33,1,1,0
1,33,1,2,0
1,33,1,3,0
1,33,1,4,0
1,33,1,5,0
1,33,1,6,0
1,33,1,7,0
1,33,1,8,1
1,34,1,1,0
1,34,1,2,0
1,34,1,3,0
1,34,1,4,0
1,34,1,5,0
1,34,1,6,0
1,34,1,7,0
1,34,1,8,1
1,35,1,1,0
1,35,1,2,0
1,35,1,3,0
1,35,1,4,0
1,35,1,5,0
1,35,1,6,0
1,35,1,7,0
1,35,1,8,1
1,36,1,1,0
1,36,1,2,0
1,36,1,3,0
1,36,1,4,0
1,36,1,5,0
1,36,1,6,0
1,36,1,7,0
1,36,1,8,0
1,36,1,9,0
1,36,1,10,0
1,36,1,11,0
1,36,1,12,1
1,37,1,1,0
1,37,1,2,0
1,37,1,3,0
1,37,1,4,0
1,37,1,5,0
1,37,1,6,0
1,37,1,7,0
1,37,1,8,0
1,37,1,9,0
1,37,1,10,0
1,37,1,11,0
1,37,1,12,1
1,38,1,1,0
1,38,1,2,0
1,38,1,3,0
1,38,1,4,0
1,38,1,5,0
1,38,1,6,0
1,38,1,7,0
1,38,1,8,0
1,38,1,9,1
1,39,1,1,0
1,39,1,2,0
1,39,1,3,0
1,39,1,4,0
1,39,1,5,0
1,39,1,6,0
1,39,1,7,1
1,40,1,1,0
1,40,1,2,0
1,40,1,3,0
1,40,1,4,0
1,40,1,5,0
1,40,1,6,0
1,40,1,7,0
1,40,1,8,0
1,40,1,9,0
1,40,1,10,1
1,41,1,1,0
1,41,1,2,0
1,41,1,3,0
1,41,1,4,0
1,41,1,5,0
1,41,1,6,0
1,41,1,7,1
1,42,1,1,0
1,42,1,2,0
1,42,1,3,0
1,42,1,4,0
1,42,1,5,0
1,42,1,6,0
1,42,1,7,1
1,43,1,1,0
1,43,1,2,0
1,43,1,3,0
1,43,1,4,0
1,43,1,5,0
1,43,1,6,1
1,44,1,1,0
1,44,1,2,0
1,44,1,3,0
1,44,1,4,0
1,44,1,5,0
1,44,1,6,0
1,44,1,7,1
1,45,1,1,0
1,45,1,2,0
1,45,1,3,0
1,45,1,4,0
1,45,1,5,0
1,45,1,6,0
1,45,1,7,0
1,45,1,8,0
1,45,1,9,1
1,46,1,1,0
1,46,1,2,0
1,46,1,3,0
1,46,1,4,0
1,46,1,5,0
1,46,1,6,0
1,46,1,7,0
1,46,1,8,0
1,46,1,9,0
1,46,1,10,1
1,47,2,1,0
1,47,2,2,0
